               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13389,            0.025687,            0.045042,          0.00023983,            0.030242,          0.00014626,          2.7907e-05,             0.12135,             0.01868,            0.034933,              0.0937,              0.0007,              0.0007
                   1,             0.11685,            0.025685,            0.041478,           0.0016506,             0.31454,           0.0034565,          0.00091745,             0.09529,            0.017304,            0.031664,            0.086499,           0.0014985,           0.0014985
                   2,             0.10187,            0.025349,            0.036889,            0.016948,             0.13129,            0.014307,             0.00281,            0.091417,             0.01612,            0.029939,            0.079295,           0.0022954,           0.0022954
                   3,            0.093257,             0.02465,            0.035421,            0.011385,             0.51077,            0.027714,           0.0067348,            0.083323,            0.015594,            0.027335,            0.072091,           0.0030908,           0.0030908
                   4,            0.085733,             0.02401,            0.030536,             0.77274,            0.020161,            0.013821,           0.0027477,            0.079019,            0.014035,            0.024199,            0.064885,           0.0038846,           0.0038846
                   5,            0.082549,            0.022732,            0.030388,             0.51956,            0.046371,            0.032795,           0.0074742,            0.075232,            0.013242,            0.021911,            0.057677,           0.0046767,           0.0046767
                   6,            0.077041,            0.021539,            0.029306,             0.76042,            0.032258,            0.025541,           0.0079711,            0.078775,            0.012444,            0.020798,            0.050467,           0.0054673,           0.0054673
                   7,            0.076765,            0.022484,            0.029726,              0.7672,            0.066532,            0.028368,            0.011259,            0.079493,            0.011498,            0.020361,            0.043256,           0.0062563,           0.0062563
                   8,            0.073134,            0.021149,            0.027601,             0.79868,             0.11492,            0.097803,            0.035495,            0.072337,            0.012229,            0.020505,            0.036044,           0.0070438,           0.0070438
                   9,            0.075547,            0.020749,             0.02765,             0.81071,             0.12702,             0.11416,            0.032388,            0.071927,            0.011596,            0.021523,             0.02883,           0.0078296,           0.0078296
                  10,            0.073139,            0.020282,            0.026381,             0.77335,            0.064516,            0.025015,           0.0048686,            0.074819,            0.011123,            0.020752,            0.021614,           0.0086139,           0.0086139
                  11,            0.074132,             0.01991,            0.026121,             0.76699,             0.10887,            0.020422,           0.0072368,            0.068206,            0.011073,            0.019784,            0.014397,           0.0093965,           0.0093965
                  12,            0.070291,            0.019553,            0.027368,             0.80621,             0.15927,              0.1494,            0.060522,              0.0653,             0.01206,            0.019658,           0.0098812,           0.0098812,           0.0098812
                  13,            0.068864,            0.020587,            0.025282,             0.80986,             0.16129,             0.12699,            0.037877,            0.057776,            0.011932,             0.01975,           0.0098812,           0.0098812,           0.0098812
                  14,            0.061706,             0.01996,             0.02655,             0.79226,             0.14919,             0.10686,            0.023855,            0.064018,            0.011285,            0.018962,           0.0098713,           0.0098713,           0.0098713
                  15,            0.061605,            0.020796,             0.02506,             0.88318,             0.11895,             0.20687,            0.078208,            0.061591,            0.011998,            0.018068,           0.0098614,           0.0098614,           0.0098614
                  16,            0.058923,            0.019262,            0.027882,             0.86116,             0.10887,              0.2301,              0.1022,            0.066388,            0.011294,            0.017735,           0.0098515,           0.0098515,           0.0098515
                  17,            0.059568,            0.018943,            0.026796,             0.86079,            0.072581,             0.08844,            0.026623,            0.066679,            0.010572,            0.017122,           0.0098416,           0.0098416,           0.0098416
                  18,            0.055987,            0.020232,            0.024349,             0.87662,             0.13035,             0.22663,            0.093244,            0.059768,             0.01034,            0.015926,           0.0098317,           0.0098317,           0.0098317
                  19,            0.055051,            0.019466,            0.024093,             0.87622,             0.14919,             0.28888,             0.12979,            0.055942,           0.0093936,             0.01494,           0.0098218,           0.0098218,           0.0098218
                  20,             0.05308,            0.018877,            0.021551,             0.33984,             0.25233,             0.18568,            0.075911,            0.058771,           0.0092788,            0.014297,           0.0098119,           0.0098119,           0.0098119
                  21,            0.053748,            0.018258,            0.021521,             0.32937,             0.38109,             0.18679,             0.07478,            0.061386,           0.0093216,            0.014055,            0.009802,            0.009802,            0.009802
                  22,            0.052239,            0.019046,            0.023325,             0.45305,             0.41843,             0.32199,             0.15134,            0.052268,           0.0094568,            0.013341,           0.0097921,           0.0097921,           0.0097921
                  23,            0.049601,             0.01721,            0.020938,              0.4427,             0.40534,             0.34539,             0.13762,             0.05153,           0.0091861,            0.012941,           0.0097822,           0.0097822,           0.0097822
                  24,            0.046978,            0.016407,            0.019866,             0.20572,             0.47533,             0.27416,            0.091233,            0.052132,           0.0091181,            0.012424,           0.0097723,           0.0097723,           0.0097723
                  25,            0.049582,            0.016559,             0.02227,             0.16835,              0.4329,             0.34294,              0.1751,            0.053904,           0.0086226,            0.012666,           0.0097624,           0.0097624,           0.0097624
                  26,            0.047147,            0.015419,            0.018558,             0.28988,              0.4726,              0.3763,             0.21348,            0.040422,           0.0088052,            0.012363,           0.0097525,           0.0097525,           0.0097525
                  27,            0.045052,            0.015691,            0.017893,             0.36521,             0.50512,             0.35019,             0.17171,            0.041071,           0.0089697,            0.011303,           0.0097426,           0.0097426,           0.0097426
                  28,            0.050443,            0.015636,            0.015442,             0.45638,             0.51702,              0.4537,             0.25947,            0.043082,            0.008279,            0.011277,           0.0097327,           0.0097327,           0.0097327
                  29,            0.046126,            0.017349,            0.019353,             0.48201,               0.538,             0.49573,             0.28563,            0.044678,           0.0085312,            0.011165,           0.0097228,           0.0097228,           0.0097228
                  30,            0.043616,            0.016458,            0.017913,             0.45077,             0.64607,             0.52052,             0.30493,            0.047551,           0.0085468,            0.011182,           0.0097129,           0.0097129,           0.0097129
